team,abbrev,seed,round,pick_pct,pick_count
Michigan State Spartans,MSU,3,R1,94.7702,14645240
North Dakota State Bison,NDSU,14,R1,5.2298,808176
Kentucky Wildcats,UK,7,R1,68.9783,10659489
Santa Clara Broncos,SCU,10,R1,31.0217,4793895
Georgia Bulldogs,UGA,8,R1,56.1544,8677982
Saint Louis Billikens,SLU,9,R1,43.8456,6775813
Duke Blue Devils,DUKE,1,S16,76.5891,11835931
Siena Saints,SIE,16,S16,0.6649,102749
Ohio State Buckeyes,OSU,8,S16,1.8047,278891
TCU Horned Frogs,TCU,9,S16,0.833,128732
St. John's Red Storm,SJU,5,S16,10.7727,1664798
Northern Iowa Panthers,UNI,12,S16,0.4281,66154
Kansas Jayhawks,KU,4,S16,8.5568,1322358
California Baptist Lancers,CBU,13,S16,0.3506,54187
BYU Cougars,BYU,6,R2,27.8676,4306546
Texas Longhorns,TEX,11,R2,5.7907,894870
Gonzaga Bulldogs,GONZ,3,R2,64.7089,9999838
Kennesaw State Owls,KENN,14,R2,1.6328,252327
Florida Gators,FLA,1,R2,90.0906,13922417
Prairie View A&M Panthers,PV,16,R2,0.891,137699
Clemson Tigers,CLEM,8,R2,4.198,648746
Iowa Hawkeyes,IOWA,9,R2,4.8204,744934
Ohio State Buckeyes,OSU,8,R1,58.7048,9072127
TCU Horned Frogs,TCU,9,R1,41.2952,6381681
BYU Cougars,BYU,6,S16,11.2351,1736209
Texas Longhorns,TEX,11,S16,1.3975,215967
Gonzaga Bulldogs,GONZ,3,S16,30.7244,4747966
Kennesaw State Owls,KENN,14,S16,0.3827,59145
Miami Hurricanes,MIA,7,S16,5.0761,784431
Missouri Tigers,MIZ,10,S16,1.6765,259079
Purdue Boilermakers,PUR,2,S16,48.6465,7517545
Queens University Royals,QUC,15,S16,0.8612,133085
